Date,County,Date in Selected Range Filter,Month Name,Product Detail Selector,Month Year,Tooltip Date,Sales,Sales Detail
10/1/2016,Yamhill,TRUE,October,Total,10/1/2016,Oct-16,9081,9081
10/1/2016,Yamhill,TRUE,October,Total,10/1/2016,Oct-16,1606.13,1606.13
10/1/2016,Yamhill,TRUE,October,Total,10/1/2016,Oct-16,38654.15,38654.15
10/1/2016,Yamhill,TRUE,October,Total,10/1/2016,Oct-16,1299.17,1299.17
10/1/2016,Yamhill,TRUE,October,Total,10/1/2016,Oct-16,411.44,411.44
10/1/2016,Yamhill,TRUE,October,Total,10/1/2016,Oct-16,51.81,51.81
10/1/2016,Yamhill,TRUE,October,Total,10/1/2016,Oct-16,1802.2,1802.2
11/1/2016,Baker,TRUE,November,Total,11/1/2016,Nov-16,188477.52,188477.52
11/1/2016,Baker,TRUE,November,Total,11/1/2016,Nov-16,1686.1,1686.1
11/1/2016,Clackamas,TRUE,November,Total,11/1/2016,Nov-16,2315.28,2315.28
11/1/2016,Clackamas,TRUE,November,Total,11/1/2016,Nov-16,338.96,338.96
11/1/2016,Clackamas,TRUE,November,Total,11/1/2016,Nov-16,486.23,486.23
11/1/2016,Clackamas,TRUE,November,Total,11/1/2016,Nov-16,17086.67,17086.67
11/1/2016,Clackamas,TRUE,November,Total,11/1/2016,Nov-16,981.5,981.5
11/1/2016,Clackamas,TRUE,November,Total,11/1/2016,Nov-16,871.4,871.4
11/1/2016,Clackamas,TRUE,November,Total,11/1/2016,Nov-16,85,85
11/1/2016,Clackamas,TRUE,November,Total,11/1/2016,Nov-16,2116.15,2116.15
11/1/2016,Clatsop,TRUE,November,Total,11/1/2016,Nov-16,3299,3299
11/1/2016,Clatsop,TRUE,November,Total,11/1/2016,Nov-16,1819,1819
11/1/2016,Clatsop,TRUE,November,Total,11/1/2016,Nov-16,583,583
11/1/2016,Clatsop,TRUE,November,Total,11/1/2016,Nov-16,44134.7,44134.7
11/1/2016,Clatsop,TRUE,November,Total,11/1/2016,Nov-16,226,226
11/1/2016,Clatsop,TRUE,November,Total,11/1/2016,Nov-16,311.5,311.5
11/1/2016,Clatsop,TRUE,November,Total,11/1/2016,Nov-16,122,122
11/1/2016,Clatsop,TRUE,November,Total,11/1/2016,Nov-16,5651.65,5651.65
11/1/2016,Columbia,TRUE,November,Total,11/1/2016,Nov-16,3078.55,3078.55
11/1/2016,Columbia,TRUE,November,Total,11/1/2016,Nov-16,694.31,694.31
11/1/2016,Columbia,TRUE,November,Total,11/1/2016,Nov-16,171,171
11/1/2016,Columbia,TRUE,November,Total,11/1/2016,Nov-16,35779.54,35779.54
11/1/2016,Columbia,TRUE,November,Total,11/1/2016,Nov-16,460.25,460.25
11/1/2016,Columbia,TRUE,November,Total,11/1/2016,Nov-16,23.25,23.25
11/1/2016,Columbia,TRUE,November,Total,11/1/2016,Nov-16,32,32
11/1/2016,Columbia,TRUE,November,Total,11/1/2016,Nov-16,446.68,446.68
11/1/2016,Curry,TRUE,November,Total,11/1/2016,Nov-16,3074,3074
11/1/2016,Deschutes,TRUE,November,Total,11/1/2016,Nov-16,20733.89,20733.89
11/1/2016,Deschutes,TRUE,November,Total,11/1/2016,Nov-16,13884.55,13884.55
11/1/2016,Deschutes,TRUE,November,Total,11/1/2016,Nov-16,10104.31,10104.31
11/1/2016,Deschutes,TRUE,November,Total,11/1/2016,Nov-16,158114.26,158114.26
11/1/2016,Deschutes,TRUE,November,Total,11/1/2016,Nov-16,8269.51,8269.51
11/1/2016,Deschutes,TRUE,November,Total,11/1/2016,Nov-16,4652.11,4652.11
11/1/2016,Deschutes,TRUE,November,Total,11/1/2016,Nov-16,2344.83,2344.83
11/1/2016,Deschutes,TRUE,November,Total,11/1/2016,Nov-16,31187.85,31187.85
11/1/2016,Douglas,TRUE,November,Total,11/1/2016,Nov-16,30604.47,30604.47
11/1/2016,Douglas,TRUE,November,Total,11/1/2016,Nov-16,4387.92,4387.92
11/1/2016,Douglas,TRUE,November,Total,11/1/2016,Nov-16,172,172
