Date,Product Type,County,Month Name,Month Year,Tooltip Date,Market Share County,Sales,Sales Detail
11/1/2016,Usable MJ,Jackson,November,11/1/2016,November 2016,66.44,120361.42,120361.42
11/1/2016,Concentrate/Extract,Jackson,November,11/1/2016,November 2016,16.01,11153.21,11153.21
11/1/2016,Concentrate/Extract,Jackson,November,11/1/2016,November 2016,16.01,28,28
11/1/2016,Edible/Tincture,Jackson,November,11/1/2016,November 2016,10.48,45,45
11/1/2016,Edible/Tincture,Jackson,November,11/1/2016,November 2016,10.48,6922.85,6922.85
11/1/2016,Other,Jackson,November,11/1/2016,November 2016,7.06,3544.42,3544.42
11/1/2016,Usable MJ,Jackson,November,11/1/2016,November 2016,66.44,22859.31,22859.31
11/1/2016,Concentrate/Extract,Lane,November,11/1/2016,November 2016,11.23,21122.34,21122.34
11/1/2016,Edible/Tincture,Lane,November,11/1/2016,November 2016,6.06,11682.65,11682.65
11/1/2016,Other,Lane,November,11/1/2016,November 2016,0.71,1217.79,1217.79
11/1/2016,Usable MJ,Lane,November,11/1/2016,November 2016,82,165038.15,165038.15
11/1/2016,Concentrate/Extract,Lane,November,11/1/2016,November 2016,11.23,3361.23,3361.23
11/1/2016,Edible/Tincture,Lane,November,11/1/2016,November 2016,6.06,1524.6,1524.6
11/1/2016,Other,Lane,November,11/1/2016,November 2016,0.71,323.2,323.2
11/1/2016,Usable MJ,Lane,November,11/1/2016,November 2016,82,13693.31,13693.31
11/1/2016,Concentrate/Extract,Lincoln,November,11/1/2016,November 2016,24.05,23399.82,23399.82
11/1/2016,Edible/Tincture,Lincoln,November,11/1/2016,November 2016,7.7,8068.89,8068.89
11/1/2016,Other,Lincoln,November,11/1/2016,November 2016,3.12,3153.94,3153.94
11/1/2016,Usable MJ,Lincoln,November,11/1/2016,November 2016,65.13,64958.16,64958.16
11/1/2016,Concentrate/Extract,Lincoln,November,11/1/2016,November 2016,24.05,2283.98,2283.98
11/1/2016,Edible/Tincture,Lincoln,November,11/1/2016,November 2016,7.7,151.5,151.5
11/1/2016,Other,Lincoln,November,11/1/2016,November 2016,3.12,182.6,182.6
11/1/2016,Usable MJ,Lincoln,November,11/1/2016,November 2016,65.13,4599.71,4599.71
11/1/2016,Concentrate/Extract,Marion,November,11/1/2016,November 2016,12.43,123.5,123.5
11/1/2016,Concentrate/Extract,Marion,November,11/1/2016,November 2016,12.43,36910.31,36910.31
11/1/2016,Edible/Tincture,Marion,November,11/1/2016,November 2016,2.82,8072.32,8072.32
11/1/2016,Other,Marion,November,11/1/2016,November 2016,1.5,4568.52,4568.52
11/1/2016,Usable MJ,Marion,November,11/1/2016,November 2016,83.25,252676.95,252676.95
11/1/2016,Concentrate/Extract,Marion,November,11/1/2016,November 2016,12.43,4899.36,4899.36
11/1/2016,Concentrate/Extract,Marion,November,11/1/2016,November 2016,12.43,19.5,19.5
11/1/2016,Edible/Tincture,Marion,November,11/1/2016,November 2016,2.82,1430.94,1430.94
11/1/2016,Other,Marion,November,11/1/2016,November 2016,1.5,502.25,502.25
11/1/2016,Usable MJ,Marion,November,11/1/2016,November 2016,83.25,28192.14,28192.14
11/1/2016,Concentrate/Extract,Multnomah,November,11/1/2016,November 2016,22.29,320934.74,320934.74
11/1/2016,Concentrate/Extract,Multnomah,November,11/1/2016,November 2016,22.29,72553.69,72553.69
11/1/2016,Edible/Tincture,Multnomah,November,11/1/2016,November 2016,9.02,7230.99,7230.99
11/1/2016,Edible/Tincture,Multnomah,November,11/1/2016,November 2016,9.02,154698.69,154698.69
11/1/2016,Other,Multnomah,November,11/1/2016,November 2016,3.79,1739.7,1739.7
11/1/2016,Other,Multnomah,November,11/1/2016,November 2016,3.79,64783.66,64783.66
11/1/2016,Usable MJ,Multnomah,November,11/1/2016,November 2016,64.9,1246698.78,1246698.78
11/1/2016,Concentrate/Extract,Multnomah,November,11/1/2016,November 2016,22.29,51622.13,51622.13
11/1/2016,Concentrate/Extract,Multnomah,November,11/1/2016,November 2016,22.29,29877.02,29877.02
11/1/2016,Edible/Tincture,Multnomah,November,11/1/2016,November 2016,9.02,28419.16,28419.16
